"ACCOUNTID","AMOUNT","CAMPAIGNID","CLOSEDATE","CONTACTID","CREATEDBYID","CREATEDDATE","CURRENTGENERATORS__C","DELIVERYINSTALLATIONSTATUS__C","DESCRIPTION","EXPECTEDREVENUE","FISCAL","FISCALQUARTER","FISCALYEAR","FORECASTCATEGORY","FORECASTCATEGORYNAME","HASOPENACTIVITY","HASOPPORTUNITYLINEITEM","HASOVERDUETASK","ID","ISCLOSED","ISDELETED","ISPRIVATE","ISWON","LASTACTIVITYDATE","LASTAMOUNTCHANGEDHISTORYID","LASTCLOSEDATECHANGEDHISTORYID","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTSTAGECHANGEDATE","LASTVIEWEDDATE","LEADSOURCE","MAINCOMPETITORS__C","NAME","NEXTSTEP","ORDERNUMBER__C","OWNERID","PRICEBOOK2ID","PROBABILITY","PUSHCOUNT","STAGENAME","SYSTEMMODSTAMP","TOTALOPPORTUNITYQUANTITY","TRACKINGNUMBER__C","TYPE"
"001Hp00002g1VGdIAM","100000.0","","2023-09-02","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","10000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7uIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone Inquiry","","Pyramid Emergency Generators","","","005Hp00000hnUYPIA2","","10.0","0","Prospecting","2023-10-28T20:45:25.000Z","","",""
"001Hp00002g1VGhIAM","80000.0","","2023-07-19","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Fujitsu","Yet to begin","","40000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7vIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","Honda","Express Logistics Portable Truck Generators","","","005Hp00000hnUYPIA2","","50.0","0","Value Proposition","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGlIAM","60000.0","","2023-10-18","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Hawkpower, Fujitsu","Yet to begin","","36000.0","2015 2","2","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh8DIAS","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","Hawkpower","GenePoint Lab Generators","","","005Hp00000hnUYPIA2","","60.0","0","Id. Decision Makers","2023-10-28T20:45:25.000Z","","",""
"001Hp00002g1VGlIAM","30000.0","","2023-10-21","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","30000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh8EIAS","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Partner","","GenePoint SLA","","546512","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","270000.0","","2023-08-21","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","Yet to begin","","243000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh7wIAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","United Oil Installations","","","005Hp00000hnUYPIA2","","90.0","0","Negotiation/Review","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGbIAM","50000.0","","2023-08-15","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","Completed","","50000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh7xIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Word of mouth","","Edge Installation","","835178","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGbIAM","60000.0","","2023-07-11","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","60000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh7yIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Word of mouth","","Edge SLA","","847564","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","270000.0","","2023-08-20","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","270000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh7zIAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Partner","","United Oil Installations","","427609","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGfIAM","350000.0","","2023-10-07","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","Completed","","350000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh80IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","","Grand Hotels Generator Installations","","763546","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","915000.0","","2023-10-02","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","Completed","","915000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh81IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Partner","John Deere, Mitsubishi, Hawkpower","United Oil Refinery Generators","","744343","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301360","New Customer"
"001Hp00002g1VGiIAM","100000.0","","2023-07-22","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","Yet to begin","","75000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh82IAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Employee Referral","","University of AZ Installations","","","005Hp00000hnUYPIA2","","75.0","0","Proposal/Price Quote","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGhIAM","120000.0","","2023-07-20","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","84000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh83IAC","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","","Express Logistics SLA","","","005Hp00000hnUYPIA2","","70.0","0","Perception Analysis","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGiIAM","90000.0","","2023-07-29","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","90000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh84IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Public Relations","","University of AZ SLA","","654985","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGcIAM","235000.0","","2023-08-30","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","Yet to begin","","235000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh85IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","John Deere","Burlington Textiles Weaving Plant Generator","","645612","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301360","New Customer"
"001Hp00002g1VGgIAM","235000.0","","2023-09-01","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","235000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh86IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","","United Oil Installations","","554821","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","440000.0","","2023-08-14","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Fujitsu","Completed","","440000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh87IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","Honda, Mitsubishi","United Oil Emergency Generators","","847324","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301420","Existing Customer - Upgrade"
"001Hp00002g1VGfIAM","90000.0","","2023-07-18","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","In progress","","90000.0","2015 1","1","2015","Closed","Closed","false","false","false","006Hp000015Yh88IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","","Grand Hotels SLA","","254676","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGgIAM","120000.0","","2023-10-17","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","","","120000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh8CIAS","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","John Deere, Mitsubishi, Hawkpower","United Oil Standby Generators","","525476","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301360","Existing Customer - Upgrade"
"001Hp00002g1VGfIAM","210000.0","","2023-10-05","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Fujitsu","Completed","","210000.0","2015 2","2","2015","Closed","Closed","false","false","false","006Hp000015Yh89IAC","true","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","External Referral","Caterpillar","Grand Hotels Emergency Generators","","387624","005Hp00000hnUYPIA2","","100.0","0","Closed Won","2023-10-28T20:45:25.000Z","","830150301360","New Customer"
"001Hp00002g1VGgIAM","675000.0","","2023-09-18","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Caterpillar","","","135000.0","2015 1","1","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh8AIAS","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","Caterpillar, Mitsubishi, Hawkpower","United Oil Plant Standby Generators","","","005Hp00000hnUYPIA2","","20.0","0","Needs Analysis","2023-10-28T20:45:25.000Z","","","Existing Customer - Upgrade"
"001Hp00002g1VGbIAM","35000.0","","2023-10-30","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","21000.0","2015 2","2","2015","Pipeline","Pipeline","false","false","false","006Hp000015Yh8BIAS","false","false","false","false","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","John Deere, Mitsubishi, Hawkpower","Edge Emergency Generator","","","005Hp00000hnUYPIA2","","60.0","0","Id. Decision Makers","2023-10-28T20:45:25.000Z","","","Existing Customer - Replacement"
